iter	Passed	Remaining
398	100445	25425
399	100571	25142
400	100695	24859
401	100840	24582
402	100978	24304
403	101116	24027
404	101256	23751
405	101396	23475
406	101540	23202
407	101667	22925
408	101808	22651
409	101934	22375
410	102060	22100
411	102198	21828
412	102339	21558
413	102486	21289
414	102645	21023
415	102798	20757
416	102935	20488
417	103074	20220
418	103204	19951
419	103338	19683
420	103478	19417
421	103608	19150
422	103730	18882
423	103851	18614
424	103993	18351
425	104134	18089
426	104257	17823
427	104392	17561
428	104526	17299
429	104668	17039
430	104808	16779
431	104933	16517
432	105072	16258
433	105212	16000
434	105350	15741
435	105475	15482
436	105616	15226
437	105758	14970
438	105899	14715
439	106039	14459
440	106178	14205
441	106302	13949
442	106442	13695
443	106579	13442
444	106719	13190
445	106857	12937
446	106994	12686
447	107130	12434
448	107252	12182
449	107389	11932
450	107516	11681
451	107661	11433
452	107805	11185
453	107949	10937
454	108088	10690
455	108225	10442
456	108364	10196
457	108501	9949
458	108637	9703
459	108778	9458
460	108911	9213
461	109055	8969
462	109196	8726
463	109321	8481
464	109458	8238
465	109598	7996
466	109727	7753
467	109862	7511
468	109986	7269
469	110122	7029
470	110247	6788
471	110370	6547
472	110512	6308
473	110650	6069
474	110786	5830
475	110911	5592
476	111034	5353
477	111170	5116
478	111302	4879
479	111431	4642
480	111569	4407
481	111694	4171
482	111831	3936
483	111956	3701
484	112079	3466
485	112215	3232
486	112342	2998
487	112466	2765
488	112603	2533
489	112743	2300
490	112870	2068
491	112992	1837
492	113131	1606
493	113272	1375
494	113412	1145
495	113535	915
496	113679	686
497	113820	457
498	113956	228
499	114081	0
