iter	Logloss
0	0.393850795
1	0.225864938
2	0.1456519732
3	0.09923654705
4	0.07369402982
5	0.05581243766
6	0.04565883566
7	0.03789087537
8	0.03262863574
9	0.02885947174
10	0.02664468714
11	0.02484046807
12	0.02336915144
13	0.02218366324
14	0.02149436796
15	0.0208437764
16	0.02017788049
17	0.01973218144
18	0.01912720987
19	0.01879343833
20	0.01839934121
21	0.01808612099
22	0.01785853778
23	0.01733618538
24	0.01694819887
25	0.01672451017
26	0.01641294705
27	0.01613173014
28	0.01576826154
29	0.01545560262
30	0.01538544289
31	0.01530686709
32	0.01526125015
33	0.01518770484
34	0.01501123899
35	0.0148908135
36	0.01479853542
37	0.01472028102
38	0.01463351492
39	0.01440213083
40	0.01431060618
41	0.01419899421
42	0.01416687811
43	0.01409838115
44	0.0140559008
45	0.01401262869
46	0.01393116839
47	0.01389899034
48	0.01373974587
49	0.01369485635
50	0.01352095956
51	0.01347277053
52	0.01347262115
53	0.01345479655
54	0.01343493767
55	0.01339149815
56	0.01330074148
57	0.01321626591
58	0.01318375231
59	0.0131569038
60	0.01311339974
61	0.01305800884
62	0.01302838336
63	0.01300311322
64	0.01295604117
65	0.01293557674
66	0.01289334344
67	0.01284001933
68	0.01281832666
69	0.01277331796
70	0.01273200147
71	0.01265698619
72	0.01259300447
73	0.01256224901
74	0.01252699307
75	0.01246946595
76	0.01243538676
77	0.01239975822
78	0.01230613616
79	0.0122729618
80	0.01223520114
81	0.01218397048
82	0.0121553162
83	0.01212168465
84	0.0121014128
85	0.01206878753
86	0.0120481497
87	0.01201446546
88	0.01199936391
89	0.0119854687
90	0.01196179041
91	0.01191793076
92	0.01191781259
93	0.01190188427
94	0.01180574569
95	0.01178621191
96	0.01172234364
97	0.01169643531
98	0.01167364219
99	0.01165772522
100	0.01164430263
101	0.01164428677
102	0.01159102981
103	0.01159100551
104	0.01155644363
105	0.01155643599
106	0.01155636396
107	0.01153350957
108	0.01153350957
109	0.0114967473
110	0.01149673567
111	0.01146925821
112	0.01144971066
113	0.01143194285
114	0.01143190745
115	0.01141558369
116	0.01139857569
117	0.01136398232
